电影ID,情绪
1291543,anger
1291571,anger
1292000,anger
1300267,anger
1301130,anger
1306207,anger
1437907,anger
1818330,anger
2156806,anger
2156806,anger
2334904,anger
2357701,anger
26389539,anger
26586556,anger
26811587,anger
26816104,anger
26816104,anger
30181250,anger
3076030,anger
3403157,anger
3403157,anger
34429795,anger
34429795,anger
34779692,anger
34884621,anger
35228399,anger
35382381,anger
35424896,anger
35461578,anger
35493148,anger
35496206,anger
35516034,anger
35874082,anger
35874082,anger
35897024,anger
35897024,anger
35900174,anger
35927475,anger
35927475,anger
36001527,anger
36001527,anger
36073533,anger
36073533,anger
36073533,anger
36117593,anger
36131988,anger
36135296,anger
36149743,anger
36188176,anger
36208896,anger
36236098,anger
36245712,anger
36344539,anger
36399603,anger
36474027,anger
36512371,anger
36587946,anger
36600459,anger
36600459,anger
36654373,anger
36742579,anger
36779171,anger
36779799,anger
36779799,anger
36832900,anger
36833084,anger
36877322,anger
36877322,anger
36897391,anger
36901008,anger
36948643,anger
36955254,anger
36978167,anger
36979516,anger
37014022,anger
37040125,anger
37046106,anger
37049749,anger
37061195,anger
37106646,anger
37107063,anger
37191804,anger
37193378,anger
37193378,anger
37211128,anger
37213104,anger
37226826,anger
37259325,anger
37305658,anger
37335090,anger
37344363,anger
37474018,anger
37479626,anger
37480003,anger
37657537,anger
38242772,anger
38413999,anger
4092781,anger
5348089,anger
5912992,anger
7958408E039B8E6F38CD4B656FA4EA32.jpg,anger
10533913,disgust
1291543,disgust
1291543,disgust
1292872,disgust
1293182,disgust
1299131,disgust
1394515,disgust
1420283,disgust
1917633,disgust
2054458,disgust
26022233,disgust
26900149,disgust
27060077,disgust
30368790,disgust
3076030,disgust
3403157,disgust
34429795,disgust
35373284,disgust
35382381,disgust
35391124,disgust
35424896,disgust
35460695,disgust
35497671,disgust
35516034,disgust
35861916,disgust
36073533,disgust
36154853,disgust
36174652,disgust
36207392,disgust
36331304,disgust
36344539,disgust
36367195,disgust
36368568,disgust
36394949,disgust
36402017,disgust
36539452,disgust
36600459,disgust
36600459,disgust
36766219,disgust
36779171,disgust
36809864,disgust
36838688,disgust
36923857,disgust
36948643,disgust
36979516,disgust
37045933,disgust
37168695,disgust
37193378,disgust
37305658,disgust
37479626,disgust
37561035,disgust
38242772,disgust
38363138,disgust
4915857,disgust
1299398,fear
1300443,fear
1301130,fear
1418141,fear
1457217,fear
24380773,fear
24380773,fear
26022233,fear
26100958,fear
27077476,fear
30174089,fear
30433390,fear
3092327,fear
3403157,fear
35215516,fear
35228399,fear
35230515,fear
35230515,fear
35267208,fear
35443478,fear
36176155,fear
36314193,fear
36437002,fear
36512371,fear
36707378,fear
36777886,fear
36779171,fear
36882158,fear
36901661,fear
36909418,fear
36955254,fear
36955254,fear
36961977,fear
36962085,fear
37005312,fear
37045933,fear
37071133,fear
37134618,fear
37155129,fear
37219584,fear
37284351,fear
37388734,fear
10439912,happy
10455077,happy
