电影ID,电影名,海报路径,星级,评论
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,冷静克制但暗流汹涌。当对公权力调查的结果成为各方博弈的关键，真相、正义都不再重要。立场可以用来自我反思，但并不存在所谓中立。原本旨在维护系统有效性的调查最终让位于系统继续运作的目的，社会矛盾和系统问题依旧。
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,好看啊，扎实稳健的叙事片，认认真真地理顺线索、推进、破案、走入僵局，对于policier系统的解释稍显不足，但在法国语境中已经足够。那些为了炫技而动不动就牺牲叙事的作者真应该来学一学什么叫好好写叙事剧本，而这在今天的艺术节展竟然是个稀缺的手艺了。Léa Drucker的表演非常冷静克制，在“我没有感觉”的表面之下尽是难以言说的复杂情绪，承载了作品的张力和重量。
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,当一个警察的工作是调查其他警察执法是否正义，你所面对的不可抗、不可诉、不可说、不可做，便远远超出工作本身。在自视法律体系严谨的法兰西，这样的司法支撑却在每时每刻成为巨大阻力。多米尼克·摩尔用极为精准的剪辑，让一部商业剧情片充满作者的强大驱动，女主角德吕盖的表演更是扣人心弦。这或许就是emo梦想中能拍出的《第二十条》吧。
37144851,137号案件,电影海报\37144851_137号案件.jpg,5,见不得理想主义者受委屈。
37144851,137号案件,电影海报\37144851_137号案件.jpg,3,比较顺畅地走完了一个对峙的流程，直到末尾，主角与伤者母亲对话中，才触及到影片的内核，作为工作的流程本身是没有进展与意义的。一时间，电影牢靠的主体满足感与同情感都坍塌了。
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,7.9/10 #Cannes78 混合手机录像，地图搜查，监控影像等媒介渠道，复现了对防暴警察执法的违规调查之困难：摩尔并未坚定选择立场，在早段呈现的"游乐"性示威参与以及路匪式威慑也复杂化抗议本身，但最后回落到身份的关联来控诉体质的本身欠缺。然而最实质的问题依旧被混合：反对警察作为一种抽象机制和权力机构与对身为警察职业的任意具体个人的歧视，两者之间的区分并未被很好地展示和暴露，略微将二者混为同样的一体两面问题。当"ACAD"的口号出现时场内零星响起的欢呼仍然可见某种意义上的观点过激。影片本身流畅，娴熟的剪辑与稳扎稳打推进的节奏呈现舒适的观感，通过"萌宠影像"反应的当代媒介社群值得更被深挖，此点的方法显然优于拉杜裘德。然而对于"劣质影像"的复刻是否需要被谨慎使用来不使其失去革命性则需被反思。
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,做工作不如看小猫视频
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,比La nuit du 12好看。Dominic Moll转到社会调查赛道之后手艺和文本算是适配上了
37144851,137号案件,电影海报\37144851_137号案件.jpg,3,有点复杂性，但不多
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,太好看了。一边毫不避讳地立足现实法国社会，一边以顶级类型片扎实整洁地推进问题。任何题材的电影都这么拍世界真的会美好很多。达内两个糟老头子这不被按着摩擦，比诺什实在太偏心了哈。（发现一个小穿帮，背景是2018年，但是片中出现的垃圾车都贴着2024年奥运会版本的公益广告哈哈哈）
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,很扎实的法国商业院线片，高效且准确，相信会有不错的本土票房表现以及凯撒奖收获。Drucker的大女主表演太厉害，角色设定要求她必须始终保持冷静，但她不动声色的面部表情下涌动的情绪仍然喷薄而出。
,137号案件,,4,
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,为什么做正确的事那么难
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,简洁有效的当代数字视角呈现
37144851,137号案件,电影海报\37144851_137号案件.jpg,4,黄背心运动之中的警察暴力调查，文本层次丰富，大小屏多媒介混用，细节考究纪实
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,3,离优秀反恐、撤侨片还有相当距离。
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,5,真实事件改编，这句话最有杀伤力
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,3,各国主旋律都差不多，这部并不战狼没啥动作戏，法国人和平民的形象中规中矩，反倒是塔利班冷酷的形象有几笔描绘不错，整体剧情弱，几场冲突拍的比较平。
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,2,2星，美军撤离阿富汗时的法国撤侨影片，彰显欧洲老牌大国的风范，虽然拍的有点拉，但是老牌担当的那种味挺明显的。
