Epoch 1,train_loss=1.0691,train_acc=0.6026,test1_loss=0.6100,test1_acc=0.7855,test2_loss=1.0544,test2_acc=0.6109
Epoch 2,train_loss=0.8552,train_acc=0.6841,test1_loss=0.5490,test1_acc=0.8070,test2_loss=0.9481,test2_acc=0.6468
Epoch 3,train_loss=0.7657,train_acc=0.7180,test1_loss=0.5005,test1_acc=0.8224,test2_loss=0.9490,test2_acc=0.6502
Epoch 4,train_loss=0.6885,train_acc=0.7471,test1_loss=0.5158,test1_acc=0.8178,test2_loss=0.9282,test2_acc=0.6552
Epoch 5,train_loss=0.6210,train_acc=0.7735,test1_loss=0.4904,test1_acc=0.8312,test2_loss=0.9387,test2_acc=0.6622
Epoch 6,train_loss=0.5535,train_acc=0.7986,test1_loss=0.4935,test1_acc=0.8416,test2_loss=0.9373,test2_acc=0.6796
Epoch 7,train_loss=0.4871,train_acc=0.8246,test1_loss=0.5039,test1_acc=0.8334,test2_loss=0.9876,test2_acc=0.6701
Epoch 8,train_loss=0.4279,train_acc=0.8440,test1_loss=0.5328,test1_acc=0.8321,test2_loss=1.0046,test2_acc=0.6723
Epoch 9,train_loss=0.3703,train_acc=0.8678,test1_loss=0.5315,test1_acc=0.8396,test2_loss=1.0570,test2_acc=0.6808
Epoch 10,train_loss=0.3251,train_acc=0.8839,test1_loss=0.5497,test1_acc=0.8406,test2_loss=1.1244,test2_acc=0.6716
Epoch 11,train_loss=0.2796,train_acc=0.9006,test1_loss=0.5899,test1_acc=0.8256,test2_loss=1.1680,test2_acc=0.6761
Epoch 12,train_loss=0.2465,train_acc=0.9137,test1_loss=0.6059,test1_acc=0.8315,test2_loss=1.1907,test2_acc=0.6768
Epoch 13,train_loss=0.2218,train_acc=0.9228,test1_loss=0.5855,test1_acc=0.8380,test2_loss=1.2330,test2_acc=0.6864
Epoch 14,train_loss=0.2034,train_acc=0.9284,test1_loss=0.6141,test1_acc=0.8393,test2_loss=1.2851,test2_acc=0.6839
Epoch 15,train_loss=0.1875,train_acc=0.9354,test1_loss=0.6188,test1_acc=0.8354,test2_loss=1.2930,test2_acc=0.6776
