Epoch 1,train_loss=1.0762,train_acc=0.6000,test1_loss=0.6474,test1_acc=0.7771,test2_loss=1.0257,test2_acc=0.6155
Epoch 2,train_loss=0.8610,train_acc=0.6829,test1_loss=0.5716,test1_acc=0.8025,test2_loss=0.9803,test2_acc=0.6340
Epoch 3,train_loss=0.7716,train_acc=0.7149,test1_loss=0.5630,test1_acc=0.8035,test2_loss=0.9537,test2_acc=0.6481
Epoch 4,train_loss=0.6998,train_acc=0.7438,test1_loss=0.5217,test1_acc=0.8246,test2_loss=0.9116,test2_acc=0.6680
Epoch 5,train_loss=0.6251,train_acc=0.7723,test1_loss=0.5236,test1_acc=0.8256,test2_loss=0.9370,test2_acc=0.6715
Epoch 6,train_loss=0.5574,train_acc=0.7973,test1_loss=0.4914,test1_acc=0.8422,test2_loss=0.9424,test2_acc=0.6771
Epoch 7,train_loss=0.4954,train_acc=0.8219,test1_loss=0.5845,test1_acc=0.8158,test2_loss=0.9922,test2_acc=0.6779
Epoch 8,train_loss=0.4364,train_acc=0.8438,test1_loss=0.5264,test1_acc=0.8406,test2_loss=1.0278,test2_acc=0.6750
Epoch 9,train_loss=0.3880,train_acc=0.8630,test1_loss=0.5466,test1_acc=0.8351,test2_loss=1.0402,test2_acc=0.6775
Epoch 10,train_loss=0.3405,train_acc=0.8790,test1_loss=0.6028,test1_acc=0.8263,test2_loss=1.1320,test2_acc=0.6661
Epoch 11,train_loss=0.3003,train_acc=0.8932,test1_loss=0.6404,test1_acc=0.8292,test2_loss=1.1762,test2_acc=0.6762
Epoch 12,train_loss=0.2663,train_acc=0.9052,test1_loss=0.6269,test1_acc=0.8328,test2_loss=1.2048,test2_acc=0.6677
Epoch 13,train_loss=0.2392,train_acc=0.9163,test1_loss=0.6582,test1_acc=0.8338,test2_loss=1.2581,test2_acc=0.6666
Epoch 14,train_loss=0.2176,train_acc=0.9246,test1_loss=0.6515,test1_acc=0.8302,test2_loss=1.2805,test2_acc=0.6740
Epoch 15,train_loss=0.1980,train_acc=0.9302,test1_loss=0.7334,test1_acc=0.8211,test2_loss=1.3315,test2_acc=0.6725
Epoch 16,train_loss=0.1824,train_acc=0.9367,test1_loss=0.6729,test1_acc=0.8315,test2_loss=1.3291,test2_acc=0.6799
Epoch 17,train_loss=0.1721,train_acc=0.9404,test1_loss=0.7251,test1_acc=0.8341,test2_loss=1.4209,test2_acc=0.6718
Epoch 18,train_loss=0.1582,train_acc=0.9450,test1_loss=0.7408,test1_acc=0.8227,test2_loss=1.4392,test2_acc=0.6748
Epoch 19,train_loss=0.1468,train_acc=0.9486,test1_loss=0.7257,test1_acc=0.8383,test2_loss=1.4887,test2_acc=0.6755
Epoch 20,train_loss=0.1345,train_acc=0.9533,test1_loss=0.7289,test1_acc=0.8357,test2_loss=1.5215,test2_acc=0.6737
Epoch 21,train_loss=0.1313,train_acc=0.9544,test1_loss=0.7441,test1_acc=0.8243,test2_loss=1.6046,test2_acc=0.6661
Epoch 22,train_loss=0.1284,train_acc=0.9561,test1_loss=0.7690,test1_acc=0.8308,test2_loss=1.5111,test2_acc=0.6808
Epoch 23,train_loss=0.1198,train_acc=0.9596,test1_loss=0.7925,test1_acc=0.8233,test2_loss=1.5036,test2_acc=0.6771
Epoch 24,train_loss=0.1164,train_acc=0.9599,test1_loss=0.8193,test1_acc=0.8256,test2_loss=1.5489,test2_acc=0.6715
Epoch 25,train_loss=0.1083,train_acc=0.9630,test1_loss=0.7923,test1_acc=0.8328,test2_loss=1.6482,test2_acc=0.6819
Epoch 26,train_loss=0.1018,train_acc=0.9652,test1_loss=0.8056,test1_acc=0.8312,test2_loss=1.6413,test2_acc=0.6751
Epoch 27,train_loss=0.1042,train_acc=0.9638,test1_loss=0.8171,test1_acc=0.8207,test2_loss=1.5878,test2_acc=0.6868
Epoch 28,train_loss=0.0974,train_acc=0.9667,test1_loss=0.8129,test1_acc=0.8246,test2_loss=1.6268,test2_acc=0.6718
Epoch 29,train_loss=0.0962,train_acc=0.9669,test1_loss=0.7764,test1_acc=0.8387,test2_loss=1.6614,test2_acc=0.6644
Epoch 30,train_loss=0.0883,train_acc=0.9702,test1_loss=0.8232,test1_acc=0.8321,test2_loss=1.6836,test2_acc=0.6705
Epoch 31,train_loss=0.0872,train_acc=0.9701,test1_loss=0.8047,test1_acc=0.8272,test2_loss=1.6411,test2_acc=0.6754
Epoch 32,train_loss=0.0897,train_acc=0.9689,test1_loss=0.8147,test1_acc=0.8403,test2_loss=1.6812,test2_acc=0.6739
Epoch 33,train_loss=0.0813,train_acc=0.9721,test1_loss=0.8373,test1_acc=0.8354,test2_loss=1.7095,test2_acc=0.6764
Epoch 34,train_loss=0.0783,train_acc=0.9735,test1_loss=0.8742,test1_acc=0.8272,test2_loss=1.7814,test2_acc=0.6688
Epoch 35,train_loss=0.0807,train_acc=0.9725,test1_loss=0.8755,test1_acc=0.8259,test2_loss=1.7091,test2_acc=0.6786
Epoch 36,train_loss=0.0772,train_acc=0.9735,test1_loss=0.7886,test1_acc=0.8426,test2_loss=1.7374,test2_acc=0.6821
Epoch 37,train_loss=0.0756,train_acc=0.9743,test1_loss=0.8901,test1_acc=0.8364,test2_loss=1.7542,test2_acc=0.6734
Epoch 38,train_loss=0.0717,train_acc=0.9759,test1_loss=0.8455,test1_acc=0.8295,test2_loss=1.7762,test2_acc=0.6734
Epoch 39,train_loss=0.0715,train_acc=0.9749,test1_loss=0.9496,test1_acc=0.8259,test2_loss=1.7950,test2_acc=0.6792
Epoch 40,train_loss=0.0695,train_acc=0.9758,test1_loss=0.8621,test1_acc=0.8246,test2_loss=1.7614,test2_acc=0.6739
