Epoch 1,train_loss=1.0747,train_acc=0.5987,test1_loss=0.6055,test1_acc=0.7846,test2_loss=1.0337,test2_acc=0.6140
Epoch 2,train_loss=0.8646,train_acc=0.6812,test1_loss=0.5836,test1_acc=0.8031,test2_loss=0.9845,test2_acc=0.6276
Epoch 3,train_loss=0.7735,train_acc=0.7156,test1_loss=0.4849,test1_acc=0.8292,test2_loss=0.9542,test2_acc=0.6475
Epoch 4,train_loss=0.7016,train_acc=0.7429,test1_loss=0.4905,test1_acc=0.8315,test2_loss=0.9205,test2_acc=0.6624
Epoch 5,train_loss=0.6302,train_acc=0.7703,test1_loss=0.5208,test1_acc=0.8162,test2_loss=0.9729,test2_acc=0.6684
Epoch 6,train_loss=0.5544,train_acc=0.7990,test1_loss=0.5234,test1_acc=0.8357,test2_loss=0.9694,test2_acc=0.6647
Epoch 7,train_loss=0.4863,train_acc=0.8250,test1_loss=0.4873,test1_acc=0.8413,test2_loss=0.9946,test2_acc=0.6746
Epoch 8,train_loss=0.4228,train_acc=0.8494,test1_loss=0.6192,test1_acc=0.8093,test2_loss=1.0831,test2_acc=0.6654
Epoch 9,train_loss=0.3684,train_acc=0.8664,test1_loss=0.5571,test1_acc=0.8338,test2_loss=1.1028,test2_acc=0.6665
Epoch 10,train_loss=0.3243,train_acc=0.8850,test1_loss=0.5526,test1_acc=0.8328,test2_loss=1.1457,test2_acc=0.6761
Epoch 11,train_loss=0.2827,train_acc=0.8996,test1_loss=0.5905,test1_acc=0.8400,test2_loss=1.2173,test2_acc=0.6719
Epoch 12,train_loss=0.2452,train_acc=0.9153,test1_loss=0.6181,test1_acc=0.8331,test2_loss=1.3007,test2_acc=0.6704
Epoch 13,train_loss=0.2260,train_acc=0.9206,test1_loss=0.6195,test1_acc=0.8344,test2_loss=1.3229,test2_acc=0.6712
Epoch 14,train_loss=0.1981,train_acc=0.9318,test1_loss=0.7032,test1_acc=0.8191,test2_loss=1.3370,test2_acc=0.6683
Epoch 15,train_loss=0.1786,train_acc=0.9384,test1_loss=0.6823,test1_acc=0.8243,test2_loss=1.4048,test2_acc=0.6643
Epoch 16,train_loss=0.1738,train_acc=0.9390,test1_loss=0.6926,test1_acc=0.8331,test2_loss=1.3936,test2_acc=0.6775
Epoch 17,train_loss=0.1569,train_acc=0.9462,test1_loss=0.7403,test1_acc=0.8263,test2_loss=1.4330,test2_acc=0.6736
Epoch 18,train_loss=0.1470,train_acc=0.9486,test1_loss=0.7301,test1_acc=0.8286,test2_loss=1.5256,test2_acc=0.6673
Epoch 19,train_loss=0.1384,train_acc=0.9519,test1_loss=0.7209,test1_acc=0.8305,test2_loss=1.5061,test2_acc=0.6697
