Epoch 1,train_loss=1.0921,train_acc=0.5966,test1_loss=0.6560,test1_acc=0.7656,test2_loss=1.0304,test2_acc=0.6135
Epoch 2,train_loss=0.8774,train_acc=0.6788,test1_loss=0.5740,test1_acc=0.8074,test2_loss=0.9707,test2_acc=0.6411
Epoch 3,train_loss=0.7905,train_acc=0.7091,test1_loss=0.5897,test1_acc=0.7943,test2_loss=0.9917,test2_acc=0.6346
Epoch 4,train_loss=0.7184,train_acc=0.7368,test1_loss=0.4921,test1_acc=0.8299,test2_loss=0.9497,test2_acc=0.6609
Epoch 5,train_loss=0.6482,train_acc=0.7627,test1_loss=0.4839,test1_acc=0.8439,test2_loss=0.9376,test2_acc=0.6665
Epoch 6,train_loss=0.5824,train_acc=0.7878,test1_loss=0.4783,test1_acc=0.8374,test2_loss=0.9783,test2_acc=0.6503
Epoch 7,train_loss=0.5192,train_acc=0.8114,test1_loss=0.5492,test1_acc=0.8220,test2_loss=1.0051,test2_acc=0.6698
Epoch 8,train_loss=0.4624,train_acc=0.8339,test1_loss=0.5455,test1_acc=0.8302,test2_loss=0.9717,test2_acc=0.6718
Epoch 9,train_loss=0.4023,train_acc=0.8556,test1_loss=0.6008,test1_acc=0.8305,test2_loss=1.0421,test2_acc=0.6725
Epoch 10,train_loss=0.2642,train_acc=0.9087,test1_loss=0.6037,test1_acc=0.8475,test2_loss=1.1839,test2_acc=0.6764
Epoch 11,train_loss=0.2035,train_acc=0.9293,test1_loss=0.6292,test1_acc=0.8462,test2_loss=1.2628,test2_acc=0.6786
Epoch 12,train_loss=0.1792,train_acc=0.9381,test1_loss=0.6673,test1_acc=0.8403,test2_loss=1.2598,test2_acc=0.6783
Epoch 13,train_loss=0.1511,train_acc=0.9480,test1_loss=0.7502,test1_acc=0.8393,test2_loss=1.4112,test2_acc=0.6789
Epoch 14,train_loss=0.1368,train_acc=0.9520,test1_loss=0.7361,test1_acc=0.8400,test2_loss=1.4500,test2_acc=0.6812
Epoch 15,train_loss=0.1226,train_acc=0.9582,test1_loss=0.7216,test1_acc=0.8354,test2_loss=1.4205,test2_acc=0.6797
Epoch 16,train_loss=0.0747,train_acc=0.9749,test1_loss=0.7845,test1_acc=0.8403,test2_loss=1.5950,test2_acc=0.6849
Epoch 17,train_loss=0.0617,train_acc=0.9807,test1_loss=0.8452,test1_acc=0.8351,test2_loss=1.6719,test2_acc=0.6849
Epoch 18,train_loss=0.0573,train_acc=0.9815,test1_loss=0.8799,test1_acc=0.8416,test2_loss=1.7473,test2_acc=0.6938
Epoch 19,train_loss=0.0524,train_acc=0.9827,test1_loss=0.8504,test1_acc=0.8422,test2_loss=1.7481,test2_acc=0.6868
Epoch 20,train_loss=0.0478,train_acc=0.9850,test1_loss=0.8751,test1_acc=0.8419,test2_loss=1.7887,test2_acc=0.6923
Epoch 21,train_loss=0.0452,train_acc=0.9856,test1_loss=0.8818,test1_acc=0.8400,test2_loss=1.7884,test2_acc=0.6949
Epoch 22,train_loss=0.0423,train_acc=0.9858,test1_loss=0.8917,test1_acc=0.8432,test2_loss=1.8265,test2_acc=0.6835
Epoch 23,train_loss=0.0330,train_acc=0.9900,test1_loss=0.9014,test1_acc=0.8523,test2_loss=1.8576,test2_acc=0.6902
Epoch 24,train_loss=0.0264,train_acc=0.9918,test1_loss=0.8782,test1_acc=0.8550,test2_loss=1.9264,test2_acc=0.6914
Epoch 25,train_loss=0.0245,train_acc=0.9923,test1_loss=0.8927,test1_acc=0.8537,test2_loss=1.9583,test2_acc=0.6945
Epoch 26,train_loss=0.0229,train_acc=0.9933,test1_loss=0.9319,test1_acc=0.8481,test2_loss=1.9921,test2_acc=0.6914
Epoch 27,train_loss=0.0193,train_acc=0.9943,test1_loss=0.9717,test1_acc=0.8455,test2_loss=2.0612,test2_acc=0.6917
Epoch 28,train_loss=0.0207,train_acc=0.9938,test1_loss=0.9536,test1_acc=0.8468,test2_loss=2.1015,test2_acc=0.6955
Epoch 29,train_loss=0.0184,train_acc=0.9941,test1_loss=0.9860,test1_acc=0.8432,test2_loss=2.1058,test2_acc=0.6910
Epoch 30,train_loss=0.0164,train_acc=0.9947,test1_loss=0.9683,test1_acc=0.8494,test2_loss=2.1062,test2_acc=0.6941
