Epoch 1,train_loss=1.0871,train_acc=0.5958,test1_loss=0.6647,test1_acc=0.7611,test2_loss=1.0780,test2_acc=0.5889
Epoch 2,train_loss=0.8738,train_acc=0.6787,test1_loss=0.6110,test1_acc=0.7911,test2_loss=1.0036,test2_acc=0.6354
Epoch 3,train_loss=0.7838,train_acc=0.7118,test1_loss=0.5443,test1_acc=0.8087,test2_loss=0.9754,test2_acc=0.6420
Epoch 4,train_loss=0.7120,train_acc=0.7398,test1_loss=0.5255,test1_acc=0.8230,test2_loss=0.9344,test2_acc=0.6544
Epoch 5,train_loss=0.6475,train_acc=0.7643,test1_loss=0.5649,test1_acc=0.8139,test2_loss=0.9608,test2_acc=0.6663
Epoch 6,train_loss=0.5791,train_acc=0.7902,test1_loss=0.5040,test1_acc=0.8325,test2_loss=0.9666,test2_acc=0.6595
Epoch 7,train_loss=0.5125,train_acc=0.8155,test1_loss=0.5039,test1_acc=0.8452,test2_loss=0.9542,test2_acc=0.6668
Epoch 8,train_loss=0.4484,train_acc=0.8381,test1_loss=0.5204,test1_acc=0.8351,test2_loss=1.0060,test2_acc=0.6715
Epoch 9,train_loss=0.3916,train_acc=0.8585,test1_loss=0.5857,test1_acc=0.8344,test2_loss=1.0581,test2_acc=0.6676
Epoch 10,train_loss=0.3474,train_acc=0.8747,test1_loss=0.5876,test1_acc=0.8243,test2_loss=1.0977,test2_acc=0.6669
Epoch 11,train_loss=0.3026,train_acc=0.8938,test1_loss=0.5837,test1_acc=0.8426,test2_loss=1.1256,test2_acc=0.6754
Epoch 12,train_loss=0.2719,train_acc=0.9025,test1_loss=0.6984,test1_acc=0.8188,test2_loss=1.1729,test2_acc=0.6643
Epoch 13,train_loss=0.2442,train_acc=0.9140,test1_loss=0.5937,test1_acc=0.8422,test2_loss=1.1787,test2_acc=0.6771
Epoch 14,train_loss=0.2207,train_acc=0.9219,test1_loss=0.6604,test1_acc=0.8396,test2_loss=1.2875,test2_acc=0.6744
Epoch 15,train_loss=0.1999,train_acc=0.9306,test1_loss=0.6649,test1_acc=0.8354,test2_loss=1.2792,test2_acc=0.6843
Epoch 16,train_loss=0.1909,train_acc=0.9320,test1_loss=0.7047,test1_acc=0.8360,test2_loss=1.3271,test2_acc=0.6725
Epoch 17,train_loss=0.1729,train_acc=0.9392,test1_loss=0.7124,test1_acc=0.8344,test2_loss=1.3554,test2_acc=0.6741
Epoch 18,train_loss=0.1630,train_acc=0.9431,test1_loss=0.6541,test1_acc=0.8439,test2_loss=1.3942,test2_acc=0.6786
Epoch 19,train_loss=0.1501,train_acc=0.9487,test1_loss=0.7363,test1_acc=0.8318,test2_loss=1.4808,test2_acc=0.6799
Epoch 20,train_loss=0.1450,train_acc=0.9499,test1_loss=0.7287,test1_acc=0.8315,test2_loss=1.3586,test2_acc=0.6779
Epoch 21,train_loss=0.1373,train_acc=0.9526,test1_loss=0.7416,test1_acc=0.8217,test2_loss=1.3920,test2_acc=0.6755
Epoch 22,train_loss=0.1271,train_acc=0.9566,test1_loss=0.8444,test1_acc=0.8171,test2_loss=1.5148,test2_acc=0.6698
Epoch 23,train_loss=0.1214,train_acc=0.9588,test1_loss=0.8300,test1_acc=0.8224,test2_loss=1.6099,test2_acc=0.6669
Epoch 24,train_loss=0.1142,train_acc=0.9608,test1_loss=0.7992,test1_acc=0.8364,test2_loss=1.5606,test2_acc=0.6783
Epoch 25,train_loss=0.1127,train_acc=0.9610,test1_loss=0.7378,test1_acc=0.8383,test2_loss=1.5462,test2_acc=0.6712
Epoch 26,train_loss=0.1091,train_acc=0.9628,test1_loss=0.8378,test1_acc=0.8305,test2_loss=1.5303,test2_acc=0.6810
Epoch 27,train_loss=0.1041,train_acc=0.9641,test1_loss=0.8224,test1_acc=0.8321,test2_loss=1.5070,test2_acc=0.6775
Epoch 28,train_loss=0.0997,train_acc=0.9658,test1_loss=0.8443,test1_acc=0.8409,test2_loss=1.7054,test2_acc=0.6832
Epoch 29,train_loss=0.1003,train_acc=0.9654,test1_loss=0.7814,test1_acc=0.8354,test2_loss=1.5672,test2_acc=0.6771
Epoch 30,train_loss=0.0938,train_acc=0.9680,test1_loss=0.8173,test1_acc=0.8282,test2_loss=1.6141,test2_acc=0.6705
Epoch 31,train_loss=0.0907,train_acc=0.9691,test1_loss=0.8081,test1_acc=0.8396,test2_loss=1.5891,test2_acc=0.6743
Epoch 32,train_loss=0.0858,train_acc=0.9710,test1_loss=0.8937,test1_acc=0.8227,test2_loss=1.6005,test2_acc=0.6702
Epoch 33,train_loss=0.0836,train_acc=0.9721,test1_loss=0.7956,test1_acc=0.8387,test2_loss=1.6992,test2_acc=0.6747
Epoch 34,train_loss=0.0831,train_acc=0.9709,test1_loss=0.8580,test1_acc=0.8360,test2_loss=1.6692,test2_acc=0.6737
Epoch 35,train_loss=0.0818,train_acc=0.9729,test1_loss=0.8518,test1_acc=0.8429,test2_loss=1.7783,test2_acc=0.6811
Epoch 36,train_loss=0.0810,train_acc=0.9715,test1_loss=0.8572,test1_acc=0.8360,test2_loss=1.7206,test2_acc=0.6824
Epoch 37,train_loss=0.0769,train_acc=0.9740,test1_loss=0.7753,test1_acc=0.8419,test2_loss=1.7174,test2_acc=0.6773
Epoch 38,train_loss=0.0722,train_acc=0.9756,test1_loss=0.8685,test1_acc=0.8295,test2_loss=1.7625,test2_acc=0.6726
Epoch 39,train_loss=0.0726,train_acc=0.9747,test1_loss=0.9014,test1_acc=0.8269,test2_loss=1.7282,test2_acc=0.6785
Epoch 40,train_loss=0.0719,train_acc=0.9755,test1_loss=0.8621,test1_acc=0.8282,test2_loss=1.7782,test2_acc=0.6767
