Epoch 1,train_loss=1.1714,train_acc=0.5531,val_loss=1.0428,val_acc=0.6027
Epoch 2,train_loss=0.9631,train_acc=0.6397,val_loss=0.9962,val_acc=0.6255
Epoch 3,train_loss=0.8685,train_acc=0.6762,val_loss=0.9841,val_acc=0.6422
Epoch 4,train_loss=0.7826,train_acc=0.7067,val_loss=0.9713,val_acc=0.6534
Epoch 5,train_loss=0.7021,train_acc=0.7416,val_loss=0.9844,val_acc=0.6590
Epoch 6,train_loss=0.6205,train_acc=0.7740,val_loss=0.9836,val_acc=0.6732
Epoch 7,train_loss=0.5408,train_acc=0.8032,val_loss=1.0187,val_acc=0.6645
Epoch 8,train_loss=0.4625,train_acc=0.8329,val_loss=1.0841,val_acc=0.6656
Epoch 9,train_loss=0.4041,train_acc=0.8556,val_loss=1.1443,val_acc=0.6693
Epoch 10,train_loss=0.3400,train_acc=0.8802,val_loss=1.2934,val_acc=0.6503
Epoch 11,train_loss=0.2200,train_acc=0.9270,val_loss=1.2389,val_acc=0.6799
Epoch 12,train_loss=0.1699,train_acc=0.9447,val_loss=1.3194,val_acc=0.6748
Epoch 13,train_loss=0.1432,train_acc=0.9529,val_loss=1.3882,val_acc=0.6843
Epoch 14,train_loss=0.1235,train_acc=0.9590,val_loss=1.4806,val_acc=0.6746
Epoch 15,train_loss=0.1133,train_acc=0.9634,val_loss=1.4952,val_acc=0.6807
Epoch 16,train_loss=0.1060,train_acc=0.9659,val_loss=1.5151,val_acc=0.6776
Epoch 17,train_loss=0.0971,train_acc=0.9688,val_loss=1.5567,val_acc=0.6854
Epoch 18,train_loss=0.0841,train_acc=0.9730,val_loss=1.6072,val_acc=0.6704
Epoch 19,train_loss=0.0830,train_acc=0.9734,val_loss=1.6667,val_acc=0.6779
Epoch 20,train_loss=0.0788,train_acc=0.9755,val_loss=1.6556,val_acc=0.6768
Epoch 21,train_loss=0.0775,train_acc=0.9754,val_loss=1.6276,val_acc=0.6807
Epoch 22,train_loss=0.0508,train_acc=0.9848,val_loss=1.6444,val_acc=0.6832
Epoch 23,train_loss=0.0380,train_acc=0.9889,val_loss=1.7193,val_acc=0.6815
Epoch 24,train_loss=0.0352,train_acc=0.9897,val_loss=1.7379,val_acc=0.6893
Epoch 25,train_loss=0.0344,train_acc=0.9898,val_loss=1.7966,val_acc=0.6815
Epoch 26,train_loss=0.0313,train_acc=0.9913,val_loss=1.7949,val_acc=0.6865
Epoch 27,train_loss=0.0320,train_acc=0.9908,val_loss=1.7750,val_acc=0.6804
Epoch 28,train_loss=0.0264,train_acc=0.9922,val_loss=1.8392,val_acc=0.6815
Epoch 29,train_loss=0.0211,train_acc=0.9939,val_loss=1.8649,val_acc=0.6835
Epoch 30,train_loss=0.0182,train_acc=0.9948,val_loss=1.8594,val_acc=0.6863
Epoch 31,train_loss=0.0181,train_acc=0.9951,val_loss=1.8890,val_acc=0.6821
Epoch 32,train_loss=0.0190,train_acc=0.9947,val_loss=1.9178,val_acc=0.6907
Epoch 33,train_loss=0.0159,train_acc=0.9953,val_loss=1.9098,val_acc=0.6865
Epoch 34,train_loss=0.0150,train_acc=0.9954,val_loss=1.9284,val_acc=0.6838
Epoch 35,train_loss=0.0156,train_acc=0.9953,val_loss=1.9095,val_acc=0.6846
Epoch 36,train_loss=0.0137,train_acc=0.9961,val_loss=1.9052,val_acc=0.6874
Epoch 37,train_loss=0.0129,train_acc=0.9962,val_loss=1.9122,val_acc=0.6874
Epoch 38,train_loss=0.0111,train_acc=0.9967,val_loss=1.9498,val_acc=0.6913
Epoch 39,train_loss=0.0112,train_acc=0.9962,val_loss=1.9067,val_acc=0.6860
Epoch 40,train_loss=0.0096,train_acc=0.9972,val_loss=1.9260,val_acc=0.6868
Epoch 41,train_loss=0.1220,train_acc=0.9574,val_loss=1.6389,val_acc=0.6656
Epoch 42,train_loss=0.1279,train_acc=0.9556,val_loss=1.7454,val_acc=0.6587
Epoch 43,train_loss=0.1340,train_acc=0.9530,val_loss=1.6566,val_acc=0.6637
Epoch 44,train_loss=0.1321,train_acc=0.9544,val_loss=1.6937,val_acc=0.6601
Epoch 45,train_loss=0.1238,train_acc=0.9567,val_loss=1.6898,val_acc=0.6584
Epoch 46,train_loss=0.0682,train_acc=0.9773,val_loss=1.6947,val_acc=0.6776
Epoch 47,train_loss=0.0503,train_acc=0.9839,val_loss=1.7623,val_acc=0.6765
Epoch 48,train_loss=0.0496,train_acc=0.9839,val_loss=1.7996,val_acc=0.6740
Epoch 49,train_loss=0.0465,train_acc=0.9855,val_loss=1.8157,val_acc=0.6826
Epoch 50,train_loss=0.0424,train_acc=0.9858,val_loss=1.8525,val_acc=0.6796
