Epoch 1,train_loss=1.1988,train_acc=0.5451,val_loss=1.0960,val_acc=0.5943
Epoch 2,train_loss=0.9897,train_acc=0.6269,val_loss=1.0798,val_acc=0.6063
Epoch 3,train_loss=0.8969,train_acc=0.6663,val_loss=0.9983,val_acc=0.6353
Epoch 4,train_loss=0.8164,train_acc=0.6971,val_loss=0.9621,val_acc=0.6531
Epoch 5,train_loss=0.7343,train_acc=0.7321,val_loss=0.9752,val_acc=0.6478
Epoch 6,train_loss=0.6549,train_acc=0.7594,val_loss=0.9704,val_acc=0.6693
Epoch 7,train_loss=0.5828,train_acc=0.7846,val_loss=1.0262,val_acc=0.6595
Epoch 8,train_loss=0.5084,train_acc=0.8143,val_loss=1.0707,val_acc=0.6551
Epoch 9,train_loss=0.4425,train_acc=0.8396,val_loss=1.1888,val_acc=0.6559
Epoch 10,train_loss=0.3877,train_acc=0.8613,val_loss=1.2404,val_acc=0.6562
Epoch 11,train_loss=0.2372,train_acc=0.9194,val_loss=1.3617,val_acc=0.6623
Epoch 12,train_loss=0.1851,train_acc=0.9362,val_loss=1.3819,val_acc=0.6840
Epoch 13,train_loss=0.1585,train_acc=0.9473,val_loss=1.5226,val_acc=0.6598
Epoch 14,train_loss=0.1423,train_acc=0.9508,val_loss=1.5997,val_acc=0.6565
Epoch 15,train_loss=0.1223,train_acc=0.9590,val_loss=1.6177,val_acc=0.6704
Epoch 16,train_loss=0.1108,train_acc=0.9629,val_loss=1.6898,val_acc=0.6751
Epoch 17,train_loss=0.0710,train_acc=0.9779,val_loss=1.7976,val_acc=0.6757
Epoch 18,train_loss=0.0593,train_acc=0.9817,val_loss=1.8036,val_acc=0.6804
Epoch 19,train_loss=0.0538,train_acc=0.9837,val_loss=1.9172,val_acc=0.6810
Epoch 20,train_loss=0.0492,train_acc=0.9852,val_loss=1.8914,val_acc=0.6796
Epoch 21,train_loss=0.0361,train_acc=0.9893,val_loss=1.9438,val_acc=0.6863
Epoch 22,train_loss=0.0310,train_acc=0.9901,val_loss=2.0168,val_acc=0.6843
Epoch 23,train_loss=0.0289,train_acc=0.9913,val_loss=2.0332,val_acc=0.6843
Epoch 24,train_loss=0.0249,train_acc=0.9928,val_loss=2.0825,val_acc=0.6840
Epoch 25,train_loss=0.0258,train_acc=0.9923,val_loss=2.0716,val_acc=0.6854
Epoch 26,train_loss=0.0197,train_acc=0.9943,val_loss=2.0914,val_acc=0.6840
Epoch 27,train_loss=0.0169,train_acc=0.9951,val_loss=2.1509,val_acc=0.6838
Epoch 28,train_loss=0.0154,train_acc=0.9953,val_loss=2.2010,val_acc=0.6838
Epoch 29,train_loss=0.0156,train_acc=0.9949,val_loss=2.2160,val_acc=0.6910
Epoch 30,train_loss=0.0136,train_acc=0.9958,val_loss=2.2712,val_acc=0.6882
Epoch 31,train_loss=0.0146,train_acc=0.9951,val_loss=2.3050,val_acc=0.6888
Epoch 32,train_loss=0.0126,train_acc=0.9961,val_loss=2.3365,val_acc=0.6860
Epoch 33,train_loss=0.0126,train_acc=0.9961,val_loss=2.3571,val_acc=0.6793
Epoch 34,train_loss=0.0116,train_acc=0.9961,val_loss=2.3272,val_acc=0.6838
Epoch 35,train_loss=0.0100,train_acc=0.9967,val_loss=2.3514,val_acc=0.6790
Epoch 36,train_loss=0.0121,train_acc=0.9963,val_loss=2.3394,val_acc=0.6824
Epoch 37,train_loss=0.0092,train_acc=0.9968,val_loss=2.3820,val_acc=0.6865
Epoch 38,train_loss=0.0083,train_acc=0.9972,val_loss=2.3689,val_acc=0.6821
Epoch 39,train_loss=0.0093,train_acc=0.9971,val_loss=2.3732,val_acc=0.6815
Epoch 40,train_loss=0.0078,train_acc=0.9973,val_loss=2.3789,val_acc=0.6865
Epoch 41,train_loss=0.1517,train_acc=0.9485,val_loss=1.6846,val_acc=0.6601
Epoch 42,train_loss=0.1803,train_acc=0.9367,val_loss=1.6444,val_acc=0.6626
Epoch 43,train_loss=0.1748,train_acc=0.9380,val_loss=1.6530,val_acc=0.6578
Epoch 44,train_loss=0.1670,train_acc=0.9414,val_loss=1.6256,val_acc=0.6601
Epoch 45,train_loss=0.1641,train_acc=0.9417,val_loss=1.6243,val_acc=0.6545
Epoch 46,train_loss=0.1584,train_acc=0.9460,val_loss=1.5620,val_acc=0.6643
Epoch 47,train_loss=0.1510,train_acc=0.9475,val_loss=1.6584,val_acc=0.6514
Epoch 48,train_loss=0.1438,train_acc=0.9514,val_loss=1.7383,val_acc=0.6645
Epoch 49,train_loss=0.1471,train_acc=0.9504,val_loss=1.6656,val_acc=0.6556
Epoch 50,train_loss=0.1320,train_acc=0.9528,val_loss=1.6891,val_acc=0.6615
