Epoch 1,train_loss=1.2212,train_acc=0.5366,val_loss=1.1028,val_acc=0.5798
Epoch 2,train_loss=0.9954,train_acc=0.6284,val_loss=1.0153,val_acc=0.6094
Epoch 3,train_loss=0.8962,train_acc=0.6638,val_loss=0.9998,val_acc=0.6252
Epoch 4,train_loss=0.8136,train_acc=0.6990,val_loss=0.9844,val_acc=0.6473
Epoch 5,train_loss=0.7380,train_acc=0.7267,val_loss=0.9894,val_acc=0.6498
Epoch 6,train_loss=0.6585,train_acc=0.7575,val_loss=1.0574,val_acc=0.6325
Epoch 7,train_loss=0.5820,train_acc=0.7891,val_loss=1.0344,val_acc=0.6598
Epoch 8,train_loss=0.5050,train_acc=0.8152,val_loss=1.0771,val_acc=0.6542
Epoch 9,train_loss=0.4448,train_acc=0.8379,val_loss=1.1721,val_acc=0.6687
Epoch 10,train_loss=0.3845,train_acc=0.8643,val_loss=1.1814,val_acc=0.6729
Epoch 11,train_loss=0.3355,train_acc=0.8830,val_loss=1.2772,val_acc=0.6411
Epoch 12,train_loss=0.3019,train_acc=0.8930,val_loss=1.2793,val_acc=0.6651
Epoch 13,train_loss=0.2625,train_acc=0.9084,val_loss=1.3718,val_acc=0.6601
Epoch 14,train_loss=0.2378,train_acc=0.9170,val_loss=1.4018,val_acc=0.6693
Epoch 15,train_loss=0.1403,train_acc=0.9532,val_loss=1.5305,val_acc=0.6888
Epoch 16,train_loss=0.1059,train_acc=0.9644,val_loss=1.5662,val_acc=0.6838
Epoch 17,train_loss=0.1005,train_acc=0.9676,val_loss=1.5240,val_acc=0.6840
Epoch 18,train_loss=0.0904,train_acc=0.9695,val_loss=1.7279,val_acc=0.6693
Epoch 19,train_loss=0.0878,train_acc=0.9706,val_loss=1.7279,val_acc=0.6768
Epoch 20,train_loss=0.0541,train_acc=0.9828,val_loss=1.8132,val_acc=0.6773
Epoch 21,train_loss=0.0426,train_acc=0.9862,val_loss=1.9731,val_acc=0.6804
Epoch 22,train_loss=0.0430,train_acc=0.9869,val_loss=1.9087,val_acc=0.6673
Epoch 23,train_loss=0.0373,train_acc=0.9886,val_loss=2.0085,val_acc=0.6821
Epoch 24,train_loss=0.0298,train_acc=0.9909,val_loss=1.9726,val_acc=0.6812
Epoch 25,train_loss=0.0229,train_acc=0.9932,val_loss=2.0314,val_acc=0.6829
Epoch 26,train_loss=0.0248,train_acc=0.9925,val_loss=2.0253,val_acc=0.6829
Epoch 27,train_loss=0.0201,train_acc=0.9937,val_loss=2.1331,val_acc=0.6835
Epoch 28,train_loss=0.0181,train_acc=0.9946,val_loss=2.0871,val_acc=0.6810
Epoch 29,train_loss=0.0146,train_acc=0.9951,val_loss=2.1522,val_acc=0.6804
Epoch 30,train_loss=0.0153,train_acc=0.9954,val_loss=2.1776,val_acc=0.6835
Epoch 31,train_loss=0.0145,train_acc=0.9955,val_loss=2.1799,val_acc=0.6874
Epoch 32,train_loss=0.0104,train_acc=0.9966,val_loss=2.2214,val_acc=0.6863
Epoch 33,train_loss=0.0121,train_acc=0.9960,val_loss=2.2391,val_acc=0.6824
Epoch 34,train_loss=0.0105,train_acc=0.9967,val_loss=2.2387,val_acc=0.6860
Epoch 35,train_loss=0.0097,train_acc=0.9971,val_loss=2.2848,val_acc=0.6840
Epoch 36,train_loss=0.0087,train_acc=0.9973,val_loss=2.2988,val_acc=0.6843
Epoch 37,train_loss=0.0091,train_acc=0.9971,val_loss=2.3201,val_acc=0.6849
Epoch 38,train_loss=0.0087,train_acc=0.9971,val_loss=2.2970,val_acc=0.6810
Epoch 39,train_loss=0.0089,train_acc=0.9969,val_loss=2.3113,val_acc=0.6849
Epoch 40,train_loss=0.0087,train_acc=0.9969,val_loss=2.3039,val_acc=0.6863
Epoch 41,train_loss=0.1994,train_acc=0.9315,val_loss=1.4519,val_acc=0.6570
Epoch 42,train_loss=0.1947,train_acc=0.9344,val_loss=1.4564,val_acc=0.6648
Epoch 43,train_loss=0.1766,train_acc=0.9388,val_loss=1.5035,val_acc=0.6679
Epoch 44,train_loss=0.1702,train_acc=0.9409,val_loss=1.5868,val_acc=0.6556
Epoch 45,train_loss=0.1600,train_acc=0.9453,val_loss=1.6484,val_acc=0.6679
Epoch 46,train_loss=0.1494,train_acc=0.9479,val_loss=1.5961,val_acc=0.6551
Epoch 47,train_loss=0.1469,train_acc=0.9516,val_loss=1.5700,val_acc=0.6743
Epoch 48,train_loss=0.1393,train_acc=0.9520,val_loss=1.5966,val_acc=0.6576
Epoch 49,train_loss=0.1326,train_acc=0.9559,val_loss=1.6002,val_acc=0.6665
Epoch 50,train_loss=0.1267,train_acc=0.9578,val_loss=1.5670,val_acc=0.6682
