Epoch 1,train_loss=1.1874,train_acc=0.5471,val_loss=1.0584,val_acc=0.6049
Epoch 2,train_loss=0.9696,train_acc=0.6355,val_loss=1.0049,val_acc=0.6367
Epoch 3,train_loss=0.8751,train_acc=0.6737,val_loss=0.9755,val_acc=0.6406
Epoch 4,train_loss=0.7894,train_acc=0.7053,val_loss=0.9960,val_acc=0.6450
Epoch 5,train_loss=0.7002,train_acc=0.7412,val_loss=0.9938,val_acc=0.6539
Epoch 6,train_loss=0.6211,train_acc=0.7732,val_loss=1.0212,val_acc=0.6475
Epoch 7,train_loss=0.5406,train_acc=0.8052,val_loss=1.0696,val_acc=0.6584
Epoch 8,train_loss=0.4571,train_acc=0.8365,val_loss=1.1768,val_acc=0.6525
Epoch 9,train_loss=0.3964,train_acc=0.8577,val_loss=1.2132,val_acc=0.6581
Epoch 10,train_loss=0.3483,train_acc=0.8756,val_loss=1.2092,val_acc=0.6620
Epoch 11,train_loss=0.3035,train_acc=0.8939,val_loss=1.2665,val_acc=0.6562
Epoch 12,train_loss=0.2533,train_acc=0.9117,val_loss=1.3286,val_acc=0.6676
Epoch 13,train_loss=0.2428,train_acc=0.9171,val_loss=1.3840,val_acc=0.6634
Epoch 14,train_loss=0.2246,train_acc=0.9224,val_loss=1.3901,val_acc=0.6732
Epoch 15,train_loss=0.1947,train_acc=0.9339,val_loss=1.4845,val_acc=0.6578
Epoch 16,train_loss=0.1855,train_acc=0.9375,val_loss=1.5241,val_acc=0.6609
Epoch 17,train_loss=0.1747,train_acc=0.9398,val_loss=1.6286,val_acc=0.6565
Epoch 18,train_loss=0.1637,train_acc=0.9453,val_loss=1.5561,val_acc=0.6629
Epoch 19,train_loss=0.0911,train_acc=0.9709,val_loss=1.5853,val_acc=0.6821
Epoch 20,train_loss=0.0687,train_acc=0.9785,val_loss=1.5654,val_acc=0.6801
Epoch 21,train_loss=0.0631,train_acc=0.9805,val_loss=1.6736,val_acc=0.6743
Epoch 22,train_loss=0.0627,train_acc=0.9810,val_loss=1.7037,val_acc=0.6760
Epoch 23,train_loss=0.0572,train_acc=0.9827,val_loss=1.7609,val_acc=0.6715
Epoch 24,train_loss=0.0413,train_acc=0.9882,val_loss=1.7481,val_acc=0.6729
Epoch 25,train_loss=0.0332,train_acc=0.9904,val_loss=1.7706,val_acc=0.6779
Epoch 26,train_loss=0.0305,train_acc=0.9910,val_loss=1.8114,val_acc=0.6840
Epoch 27,train_loss=0.0293,train_acc=0.9917,val_loss=1.8289,val_acc=0.6821
Epoch 28,train_loss=0.0260,train_acc=0.9931,val_loss=1.8542,val_acc=0.6824
Epoch 29,train_loss=0.0267,train_acc=0.9926,val_loss=1.8641,val_acc=0.6801
Epoch 30,train_loss=0.0260,train_acc=0.9928,val_loss=1.8937,val_acc=0.6804
Epoch 31,train_loss=0.0171,train_acc=0.9952,val_loss=1.8958,val_acc=0.6824
Epoch 32,train_loss=0.0167,train_acc=0.9956,val_loss=1.9109,val_acc=0.6857
Epoch 33,train_loss=0.0162,train_acc=0.9954,val_loss=1.8839,val_acc=0.6854
Epoch 34,train_loss=0.0138,train_acc=0.9962,val_loss=1.9004,val_acc=0.6840
Epoch 35,train_loss=0.0141,train_acc=0.9958,val_loss=1.9097,val_acc=0.6863
Epoch 36,train_loss=0.0140,train_acc=0.9958,val_loss=1.9311,val_acc=0.6941
Epoch 37,train_loss=0.0123,train_acc=0.9962,val_loss=1.9519,val_acc=0.6930
Epoch 38,train_loss=0.0115,train_acc=0.9967,val_loss=1.9600,val_acc=0.6840
Epoch 39,train_loss=0.0115,train_acc=0.9965,val_loss=1.9502,val_acc=0.6860
Epoch 40,train_loss=0.0125,train_acc=0.9961,val_loss=2.0363,val_acc=0.6835
Epoch 41,train_loss=0.0962,train_acc=0.9661,val_loss=1.9823,val_acc=0.6565
Epoch 42,train_loss=0.1105,train_acc=0.9635,val_loss=1.9158,val_acc=0.6729
Epoch 43,train_loss=0.1111,train_acc=0.9615,val_loss=1.8607,val_acc=0.6609
Epoch 44,train_loss=0.0999,train_acc=0.9653,val_loss=1.8461,val_acc=0.6709
Epoch 45,train_loss=0.1059,train_acc=0.9650,val_loss=1.8659,val_acc=0.6623
Epoch 46,train_loss=0.1010,train_acc=0.9650,val_loss=1.8829,val_acc=0.6601
Epoch 47,train_loss=0.0599,train_acc=0.9812,val_loss=1.8103,val_acc=0.6843
Epoch 48,train_loss=0.0389,train_acc=0.9874,val_loss=1.8825,val_acc=0.6785
Epoch 49,train_loss=0.0368,train_acc=0.9884,val_loss=1.9530,val_acc=0.6751
Epoch 50,train_loss=0.0364,train_acc=0.9877,val_loss=1.9642,val_acc=0.6771
