Epoch 1,train_loss=1.1905,train_acc=0.5479,val_loss=1.0339,val_acc=0.6127
Epoch 2,train_loss=0.9738,train_acc=0.6355,val_loss=1.0224,val_acc=0.6186
Epoch 3,train_loss=0.8822,train_acc=0.6677,val_loss=0.9681,val_acc=0.6514
Epoch 4,train_loss=0.7993,train_acc=0.7025,val_loss=0.9676,val_acc=0.6565
Epoch 5,train_loss=0.7198,train_acc=0.7362,val_loss=0.9786,val_acc=0.6626
Epoch 6,train_loss=0.6454,train_acc=0.7637,val_loss=0.9766,val_acc=0.6695
Epoch 7,train_loss=0.5675,train_acc=0.7934,val_loss=1.0105,val_acc=0.6682
Epoch 8,train_loss=0.5005,train_acc=0.8200,val_loss=1.0806,val_acc=0.6670
Epoch 9,train_loss=0.4317,train_acc=0.8466,val_loss=1.1183,val_acc=0.6687
Epoch 10,train_loss=0.3719,train_acc=0.8688,val_loss=1.2109,val_acc=0.6576
Epoch 11,train_loss=0.2375,train_acc=0.9163,val_loss=1.2981,val_acc=0.6707
Epoch 12,train_loss=0.1827,train_acc=0.9391,val_loss=1.3907,val_acc=0.6670
Epoch 13,train_loss=0.1524,train_acc=0.9490,val_loss=1.4772,val_acc=0.6743
Epoch 14,train_loss=0.1366,train_acc=0.9537,val_loss=1.4684,val_acc=0.6768
Epoch 15,train_loss=0.1273,train_acc=0.9564,val_loss=1.5227,val_acc=0.6771
Epoch 16,train_loss=0.1096,train_acc=0.9640,val_loss=1.6383,val_acc=0.6715
Epoch 17,train_loss=0.0989,train_acc=0.9678,val_loss=1.5959,val_acc=0.6843
Epoch 18,train_loss=0.0919,train_acc=0.9696,val_loss=1.7073,val_acc=0.6765
Epoch 19,train_loss=0.0897,train_acc=0.9700,val_loss=1.7328,val_acc=0.6849
Epoch 20,train_loss=0.0841,train_acc=0.9713,val_loss=1.7747,val_acc=0.6804
Epoch 21,train_loss=0.0818,train_acc=0.9737,val_loss=1.7040,val_acc=0.6743
Epoch 22,train_loss=0.0760,train_acc=0.9741,val_loss=1.7669,val_acc=0.6832
Epoch 23,train_loss=0.0744,train_acc=0.9753,val_loss=1.8185,val_acc=0.6751
Epoch 24,train_loss=0.0438,train_acc=0.9858,val_loss=1.8775,val_acc=0.6918
Epoch 25,train_loss=0.0369,train_acc=0.9883,val_loss=1.9521,val_acc=0.6849
Epoch 26,train_loss=0.0347,train_acc=0.9894,val_loss=2.0422,val_acc=0.6840
Epoch 27,train_loss=0.0322,train_acc=0.9895,val_loss=2.0830,val_acc=0.6840
Epoch 28,train_loss=0.0356,train_acc=0.9882,val_loss=2.0173,val_acc=0.6832
Epoch 29,train_loss=0.0247,train_acc=0.9925,val_loss=2.0423,val_acc=0.6896
Epoch 30,train_loss=0.0186,train_acc=0.9946,val_loss=2.0744,val_acc=0.6888
Epoch 31,train_loss=0.0183,train_acc=0.9938,val_loss=2.0975,val_acc=0.6927
Epoch 32,train_loss=0.0172,train_acc=0.9943,val_loss=2.1720,val_acc=0.6885
Epoch 33,train_loss=0.0160,train_acc=0.9951,val_loss=2.2173,val_acc=0.6821
Epoch 34,train_loss=0.0177,train_acc=0.9941,val_loss=2.1598,val_acc=0.6924
Epoch 35,train_loss=0.0154,train_acc=0.9947,val_loss=2.2072,val_acc=0.6932
Epoch 36,train_loss=0.0138,train_acc=0.9958,val_loss=2.2220,val_acc=0.6957
Epoch 37,train_loss=0.0131,train_acc=0.9962,val_loss=2.2116,val_acc=0.7002
Epoch 38,train_loss=0.0171,train_acc=0.9951,val_loss=2.1913,val_acc=0.6846
Epoch 39,train_loss=0.0141,train_acc=0.9958,val_loss=2.2627,val_acc=0.6868
Epoch 40,train_loss=0.0135,train_acc=0.9955,val_loss=2.2890,val_acc=0.6927
Epoch 41,train_loss=0.1247,train_acc=0.9567,val_loss=1.7450,val_acc=0.6640
Epoch 42,train_loss=0.1455,train_acc=0.9495,val_loss=1.6595,val_acc=0.6668
Epoch 43,train_loss=0.1430,train_acc=0.9509,val_loss=1.5857,val_acc=0.6684
Epoch 44,train_loss=0.1346,train_acc=0.9529,val_loss=1.6851,val_acc=0.6676
Epoch 45,train_loss=0.1399,train_acc=0.9521,val_loss=1.6569,val_acc=0.6662
Epoch 46,train_loss=0.1312,train_acc=0.9546,val_loss=1.6223,val_acc=0.6690
Epoch 47,train_loss=0.1196,train_acc=0.9590,val_loss=1.6817,val_acc=0.6762
Epoch 48,train_loss=0.1238,train_acc=0.9573,val_loss=1.7322,val_acc=0.6651
Epoch 49,train_loss=0.1230,train_acc=0.9584,val_loss=1.6851,val_acc=0.6723
Epoch 50,train_loss=0.1201,train_acc=0.9589,val_loss=1.6445,val_acc=0.6843
