Epoch 1,train_loss=0.9057,train_acc=0.6775,test_loss=0.6539,test_acc=0.7687
Epoch 2,train_loss=0.5821,train_acc=0.7972,test_loss=0.5327,test_acc=0.8023
Epoch 3,train_loss=0.4660,train_acc=0.8349,test_loss=0.4897,test_acc=0.8264
Epoch 4,train_loss=0.3809,train_acc=0.8655,test_loss=0.5311,test_acc=0.8130
Epoch 5,train_loss=0.3103,train_acc=0.8914,test_loss=0.5092,test_acc=0.8241
Epoch 6,train_loss=0.2629,train_acc=0.9064,test_loss=0.5046,test_acc=0.8414
Epoch 7,train_loss=0.2096,train_acc=0.9254,test_loss=0.5489,test_acc=0.8326
Epoch 8,train_loss=0.1754,train_acc=0.9412,test_loss=0.5425,test_acc=0.8329
Epoch 9,train_loss=0.1565,train_acc=0.9441,test_loss=0.5565,test_acc=0.8345
Epoch 10,train_loss=0.1353,train_acc=0.9538,test_loss=0.7371,test_acc=0.8075
Epoch 11,train_loss=0.2177,train_acc=0.9229,test_loss=0.5379,test_acc=0.8345
Epoch 12,train_loss=0.1830,train_acc=0.9350,test_loss=0.5855,test_acc=0.8231
Epoch 13,train_loss=0.1490,train_acc=0.9482,test_loss=0.5660,test_acc=0.8345
Epoch 14,train_loss=0.1298,train_acc=0.9538,test_loss=0.5849,test_acc=0.8388
Epoch 15,train_loss=0.1173,train_acc=0.9598,test_loss=0.5459,test_acc=0.8436
Epoch 16,train_loss=0.0882,train_acc=0.9720,test_loss=0.5558,test_acc=0.8410
Epoch 17,train_loss=0.0949,train_acc=0.9666,test_loss=0.6572,test_acc=0.8215
Epoch 18,train_loss=0.0950,train_acc=0.9675,test_loss=0.6103,test_acc=0.8427
Epoch 19,train_loss=0.0789,train_acc=0.9733,test_loss=0.6427,test_acc=0.8362
Epoch 20,train_loss=0.0398,train_acc=0.9877,test_loss=0.5798,test_acc=0.8570
Epoch 21,train_loss=0.0744,train_acc=0.9742,test_loss=0.7087,test_acc=0.8322
Epoch 22,train_loss=0.0655,train_acc=0.9782,test_loss=0.6617,test_acc=0.8404
Epoch 23,train_loss=0.0704,train_acc=0.9754,test_loss=0.6922,test_acc=0.8254
Epoch 24,train_loss=0.0573,train_acc=0.9800,test_loss=0.6808,test_acc=0.8375
Epoch 25,train_loss=0.0600,train_acc=0.9795,test_loss=0.6704,test_acc=0.8401
Epoch 26,train_loss=0.0580,train_acc=0.9803,test_loss=0.7119,test_acc=0.8388
Epoch 27,train_loss=0.0259,train_acc=0.9923,test_loss=0.6148,test_acc=0.8616
Epoch 28,train_loss=0.0143,train_acc=0.9959,test_loss=0.6319,test_acc=0.8524
Epoch 29,train_loss=0.0147,train_acc=0.9958,test_loss=0.6703,test_acc=0.8544
Epoch 30,train_loss=0.0132,train_acc=0.9958,test_loss=0.6499,test_acc=0.8580
Epoch 31,train_loss=0.0532,train_acc=0.9814,test_loss=0.8096,test_acc=0.8235
Epoch 32,train_loss=0.0548,train_acc=0.9791,test_loss=0.6998,test_acc=0.8384
Epoch 33,train_loss=0.0499,train_acc=0.9832,test_loss=0.7211,test_acc=0.8339
Epoch 34,train_loss=0.0476,train_acc=0.9843,test_loss=0.7223,test_acc=0.8332
Epoch 35,train_loss=0.0446,train_acc=0.9837,test_loss=0.7021,test_acc=0.8365
Epoch 36,train_loss=0.0437,train_acc=0.9854,test_loss=0.7282,test_acc=0.8352
Epoch 37,train_loss=0.0226,train_acc=0.9923,test_loss=0.6622,test_acc=0.8570
Epoch 38,train_loss=0.0124,train_acc=0.9956,test_loss=0.6461,test_acc=0.8567
Epoch 39,train_loss=0.0117,train_acc=0.9970,test_loss=0.6652,test_acc=0.8632
Epoch 40,train_loss=0.0077,train_acc=0.9978,test_loss=0.6906,test_acc=0.8570
