Epoch 1,train_loss=0.8967,train_acc=0.6786,test_loss=0.6412,test_acc=0.7687
Epoch 2,train_loss=0.5998,train_acc=0.7871,test_loss=0.5804,test_acc=0.7961
Epoch 3,train_loss=0.4779,train_acc=0.8329,test_loss=0.5258,test_acc=0.8199
Epoch 4,train_loss=0.4074,train_acc=0.8575,test_loss=0.5450,test_acc=0.8127
Epoch 5,train_loss=0.3377,train_acc=0.8785,test_loss=0.5695,test_acc=0.8117
Epoch 6,train_loss=0.2872,train_acc=0.9002,test_loss=0.5565,test_acc=0.8225
Epoch 7,train_loss=0.2337,train_acc=0.9174,test_loss=0.5799,test_acc=0.8300
Epoch 8,train_loss=0.1981,train_acc=0.9315,test_loss=0.7202,test_acc=0.8055
Epoch 9,train_loss=0.1831,train_acc=0.9329,test_loss=0.5994,test_acc=0.8261
Epoch 10,train_loss=0.1618,train_acc=0.9438,test_loss=0.6106,test_acc=0.8254
Epoch 11,train_loss=0.1343,train_acc=0.9533,test_loss=0.6346,test_acc=0.8244
Epoch 12,train_loss=0.0645,train_acc=0.9779,test_loss=0.6276,test_acc=0.8433
Epoch 13,train_loss=0.0444,train_acc=0.9865,test_loss=0.6749,test_acc=0.8362
Epoch 14,train_loss=0.0423,train_acc=0.9870,test_loss=0.7092,test_acc=0.8381
Epoch 15,train_loss=0.0493,train_acc=0.9833,test_loss=0.7117,test_acc=0.8375
Epoch 16,train_loss=0.0420,train_acc=0.9860,test_loss=0.7215,test_acc=0.8404
Epoch 17,train_loss=0.0247,train_acc=0.9919,test_loss=0.7008,test_acc=0.8544
Epoch 18,train_loss=0.0138,train_acc=0.9959,test_loss=0.7089,test_acc=0.8495
Epoch 19,train_loss=0.0133,train_acc=0.9959,test_loss=0.7696,test_acc=0.8489
Epoch 20,train_loss=0.0110,train_acc=0.9966,test_loss=0.7905,test_acc=0.8495
Epoch 21,train_loss=0.0875,train_acc=0.9686,test_loss=0.8436,test_acc=0.8088
Epoch 22,train_loss=0.0872,train_acc=0.9683,test_loss=0.8179,test_acc=0.8212
Epoch 23,train_loss=0.0872,train_acc=0.9700,test_loss=0.7393,test_acc=0.8270
Epoch 24,train_loss=0.0901,train_acc=0.9671,test_loss=0.7749,test_acc=0.8322
Epoch 25,train_loss=0.0730,train_acc=0.9747,test_loss=0.8838,test_acc=0.8202
Epoch 26,train_loss=0.0737,train_acc=0.9734,test_loss=0.7627,test_acc=0.8241
Epoch 27,train_loss=0.0843,train_acc=0.9720,test_loss=0.7455,test_acc=0.8306
Epoch 28,train_loss=0.0668,train_acc=0.9772,test_loss=0.7589,test_acc=0.8270
Epoch 29,train_loss=0.0341,train_acc=0.9893,test_loss=0.6982,test_acc=0.8528
Epoch 30,train_loss=0.0168,train_acc=0.9948,test_loss=0.7452,test_acc=0.8489
Epoch 31,train_loss=0.0193,train_acc=0.9932,test_loss=0.7884,test_acc=0.8524
Epoch 32,train_loss=0.0152,train_acc=0.9957,test_loss=0.8026,test_acc=0.8521
Epoch 33,train_loss=0.0189,train_acc=0.9934,test_loss=0.8021,test_acc=0.8547
Epoch 34,train_loss=0.0217,train_acc=0.9923,test_loss=0.8898,test_acc=0.8469
Epoch 35,train_loss=0.0215,train_acc=0.9929,test_loss=0.8599,test_acc=0.8436
Epoch 36,train_loss=0.0236,train_acc=0.9917,test_loss=0.8554,test_acc=0.8423
Epoch 37,train_loss=0.0272,train_acc=0.9905,test_loss=0.7883,test_acc=0.8443
Epoch 38,train_loss=0.0089,train_acc=0.9973,test_loss=0.7572,test_acc=0.8505
Epoch 39,train_loss=0.0050,train_acc=0.9985,test_loss=0.8129,test_acc=0.8505
Epoch 40,train_loss=0.0049,train_acc=0.9985,test_loss=0.8120,test_acc=0.8573
