Epoch 1,train_loss=0.9219,train_acc=0.6695,test_loss=0.6815,test_acc=0.7564
Epoch 2,train_loss=0.6299,train_acc=0.7767,test_loss=0.5534,test_acc=0.8065
Epoch 3,train_loss=0.4996,train_acc=0.8207,test_loss=0.5239,test_acc=0.8199
Epoch 4,train_loss=0.4005,train_acc=0.8580,test_loss=0.5273,test_acc=0.8166
Epoch 5,train_loss=0.3467,train_acc=0.8784,test_loss=0.4972,test_acc=0.8300
Epoch 6,train_loss=0.2792,train_acc=0.8994,test_loss=0.5634,test_acc=0.8192
Epoch 7,train_loss=0.2345,train_acc=0.9174,test_loss=0.6316,test_acc=0.8143
Epoch 8,train_loss=0.2055,train_acc=0.9262,test_loss=0.5603,test_acc=0.8336
Epoch 9,train_loss=0.1725,train_acc=0.9419,test_loss=0.6021,test_acc=0.8326
Epoch 10,train_loss=0.1524,train_acc=0.9470,test_loss=0.6077,test_acc=0.8300
Epoch 11,train_loss=0.1357,train_acc=0.9520,test_loss=0.6268,test_acc=0.8401
Epoch 12,train_loss=0.1323,train_acc=0.9527,test_loss=0.6064,test_acc=0.8322
Epoch 13,train_loss=0.1112,train_acc=0.9606,test_loss=0.6772,test_acc=0.8339
Epoch 14,train_loss=0.0943,train_acc=0.9670,test_loss=0.6919,test_acc=0.8293
Epoch 15,train_loss=0.0913,train_acc=0.9684,test_loss=0.7824,test_acc=0.8244
Epoch 16,train_loss=0.0430,train_acc=0.9860,test_loss=0.6507,test_acc=0.8472
Epoch 17,train_loss=0.0266,train_acc=0.9908,test_loss=0.7160,test_acc=0.8472
Epoch 18,train_loss=0.0256,train_acc=0.9911,test_loss=0.7647,test_acc=0.8508
Epoch 19,train_loss=0.0310,train_acc=0.9897,test_loss=0.8014,test_acc=0.8446
Epoch 20,train_loss=0.0277,train_acc=0.9901,test_loss=0.8638,test_acc=0.8391
Epoch 21,train_loss=0.0298,train_acc=0.9901,test_loss=0.8316,test_acc=0.8410
Epoch 22,train_loss=0.0265,train_acc=0.9908,test_loss=0.8239,test_acc=0.8401
Epoch 23,train_loss=0.0150,train_acc=0.9952,test_loss=0.7860,test_acc=0.8489
Epoch 24,train_loss=0.0101,train_acc=0.9965,test_loss=0.7806,test_acc=0.8557
Epoch 25,train_loss=0.0103,train_acc=0.9964,test_loss=0.8046,test_acc=0.8531
Epoch 26,train_loss=0.0101,train_acc=0.9970,test_loss=0.8375,test_acc=0.8430
Epoch 27,train_loss=0.0084,train_acc=0.9967,test_loss=0.8517,test_acc=0.8521
Epoch 28,train_loss=0.0071,train_acc=0.9978,test_loss=0.8770,test_acc=0.8489
Epoch 29,train_loss=0.0049,train_acc=0.9984,test_loss=0.9008,test_acc=0.8515
Epoch 30,train_loss=0.0047,train_acc=0.9984,test_loss=0.8728,test_acc=0.8560
Epoch 31,train_loss=0.0043,train_acc=0.9985,test_loss=0.8741,test_acc=0.8573
Epoch 32,train_loss=0.0029,train_acc=0.9993,test_loss=0.8668,test_acc=0.8616
Epoch 33,train_loss=0.0037,train_acc=0.9989,test_loss=0.9396,test_acc=0.8544
Epoch 34,train_loss=0.0047,train_acc=0.9983,test_loss=0.9153,test_acc=0.8521
Epoch 35,train_loss=0.0028,train_acc=0.9992,test_loss=0.9228,test_acc=0.8567
Epoch 36,train_loss=0.0023,train_acc=0.9993,test_loss=0.9158,test_acc=0.8524
Epoch 37,train_loss=0.0016,train_acc=0.9996,test_loss=0.9186,test_acc=0.8544
Epoch 38,train_loss=0.0019,train_acc=0.9994,test_loss=0.9047,test_acc=0.8564
Epoch 39,train_loss=0.0025,train_acc=0.9993,test_loss=0.9225,test_acc=0.8518
Epoch 40,train_loss=0.0019,train_acc=0.9994,test_loss=0.9228,test_acc=0.8564
Epoch 41,train_loss=0.0019,train_acc=0.9996,test_loss=0.9252,test_acc=0.8573
