Epoch 1,train_loss=0.8899,train_acc=0.6810,test_loss=0.6463,test_acc=0.7725
Epoch 2,train_loss=0.5798,train_acc=0.7941,test_loss=0.5311,test_acc=0.8123
Epoch 3,train_loss=0.4671,train_acc=0.8347,test_loss=0.5071,test_acc=0.8171
Epoch 4,train_loss=0.3960,train_acc=0.8595,test_loss=0.5190,test_acc=0.8211
Epoch 5,train_loss=0.3258,train_acc=0.8832,test_loss=0.5074,test_acc=0.8328
Epoch 6,train_loss=0.2666,train_acc=0.9068,test_loss=0.5046,test_acc=0.8315
Epoch 7,train_loss=0.2132,train_acc=0.9279,test_loss=0.5495,test_acc=0.8276
Epoch 8,train_loss=0.1890,train_acc=0.9367,test_loss=0.6246,test_acc=0.8171
Epoch 9,train_loss=0.1596,train_acc=0.9484,test_loss=0.5565,test_acc=0.8396
Epoch 10,train_loss=0.1375,train_acc=0.9530,test_loss=0.5801,test_acc=0.8321
Epoch 11,train_loss=0.1534,train_acc=0.9449,test_loss=0.5912,test_acc=0.8321
Epoch 12,train_loss=0.1244,train_acc=0.9571,test_loss=0.6401,test_acc=0.8334
Epoch 13,train_loss=0.1110,train_acc=0.9621,test_loss=0.5984,test_acc=0.8321
Epoch 14,train_loss=0.0955,train_acc=0.9668,test_loss=0.6337,test_acc=0.8299
Epoch 15,train_loss=0.0864,train_acc=0.9714,test_loss=0.6710,test_acc=0.8367
Epoch 16,train_loss=0.0891,train_acc=0.9690,test_loss=0.6488,test_acc=0.8318
Epoch 17,train_loss=0.0731,train_acc=0.9748,test_loss=0.6885,test_acc=0.8357
Epoch 18,train_loss=0.0669,train_acc=0.9778,test_loss=0.7085,test_acc=0.8396
Epoch 19,train_loss=0.0677,train_acc=0.9760,test_loss=0.7072,test_acc=0.8308
Epoch 20,train_loss=0.0669,train_acc=0.9769,test_loss=0.6822,test_acc=0.8422
