Epoch 1,train_loss=0.8991,train_acc=0.6801,test_loss=0.6363,test_acc=0.7723
Epoch 2,train_loss=0.5918,train_acc=0.7939,test_loss=0.5812,test_acc=0.7912
Epoch 3,train_loss=0.4693,train_acc=0.8340,test_loss=0.5127,test_acc=0.8212
Epoch 4,train_loss=0.4007,train_acc=0.8569,test_loss=0.5197,test_acc=0.8156
Epoch 5,train_loss=0.3282,train_acc=0.8826,test_loss=0.5336,test_acc=0.8150
Epoch 6,train_loss=0.2739,train_acc=0.9042,test_loss=0.5720,test_acc=0.8121
Epoch 7,train_loss=0.2454,train_acc=0.9130,test_loss=0.5328,test_acc=0.8322
Epoch 8,train_loss=0.1905,train_acc=0.9345,test_loss=0.5529,test_acc=0.8371
Epoch 9,train_loss=0.1723,train_acc=0.9412,test_loss=0.5674,test_acc=0.8358
Epoch 10,train_loss=0.1513,train_acc=0.9491,test_loss=0.5685,test_acc=0.8368
Epoch 11,train_loss=0.1796,train_acc=0.9358,test_loss=0.6470,test_acc=0.8140
Epoch 12,train_loss=0.1563,train_acc=0.9449,test_loss=0.5756,test_acc=0.8378
Epoch 13,train_loss=0.1293,train_acc=0.9544,test_loss=0.6430,test_acc=0.8274
Epoch 14,train_loss=0.1199,train_acc=0.9582,test_loss=0.6378,test_acc=0.8283
Epoch 15,train_loss=0.1139,train_acc=0.9593,test_loss=0.6246,test_acc=0.8349
Epoch 16,train_loss=0.0962,train_acc=0.9660,test_loss=0.7354,test_acc=0.8195
Epoch 17,train_loss=0.0469,train_acc=0.9849,test_loss=0.6138,test_acc=0.8505
Epoch 18,train_loss=0.0268,train_acc=0.9917,test_loss=0.6516,test_acc=0.8534
Epoch 19,train_loss=0.0309,train_acc=0.9897,test_loss=0.6770,test_acc=0.8511
Epoch 20,train_loss=0.0258,train_acc=0.9912,test_loss=0.7303,test_acc=0.8417
