Epoch 1,train_loss=0.8991,train_acc=0.6801,test_loss=0.6363,test_acc=0.7723
Epoch 2,train_loss=0.5918,train_acc=0.7939,test_loss=0.5812,test_acc=0.7912
Epoch 3,train_loss=0.4693,train_acc=0.8340,test_loss=0.5127,test_acc=0.8212
Epoch 4,train_loss=0.4007,train_acc=0.8569,test_loss=0.5197,test_acc=0.8156
Epoch 5,train_loss=0.3282,train_acc=0.8826,test_loss=0.5336,test_acc=0.8150
Epoch 6,train_loss=0.2739,train_acc=0.9042,test_loss=0.5720,test_acc=0.8121
Epoch 7,train_loss=0.2454,train_acc=0.9130,test_loss=0.5328,test_acc=0.8322
Epoch 8,train_loss=0.1905,train_acc=0.9345,test_loss=0.5529,test_acc=0.8371
Epoch 9,train_loss=0.1723,train_acc=0.9412,test_loss=0.5674,test_acc=0.8358
Epoch 10,train_loss=0.1513,train_acc=0.9491,test_loss=0.5685,test_acc=0.8368
Epoch 11,train_loss=0.1796,train_acc=0.9358,test_loss=0.6470,test_acc=0.8140
Epoch 12,train_loss=0.1563,train_acc=0.9449,test_loss=0.5756,test_acc=0.8378
Epoch 13,train_loss=0.1293,train_acc=0.9544,test_loss=0.6430,test_acc=0.8274
Epoch 14,train_loss=0.1199,train_acc=0.9582,test_loss=0.6378,test_acc=0.8283
Epoch 15,train_loss=0.1139,train_acc=0.9593,test_loss=0.6246,test_acc=0.8349
Epoch 16,train_loss=0.0962,train_acc=0.9660,test_loss=0.7354,test_acc=0.8195
Epoch 17,train_loss=0.0469,train_acc=0.9849,test_loss=0.6138,test_acc=0.8505
Epoch 18,train_loss=0.0268,train_acc=0.9917,test_loss=0.6516,test_acc=0.8534
Epoch 19,train_loss=0.0309,train_acc=0.9897,test_loss=0.6770,test_acc=0.8511
Epoch 20,train_loss=0.0258,train_acc=0.9912,test_loss=0.7303,test_acc=0.8417
Epoch 21,train_loss=0.0881,train_acc=0.9687,test_loss=0.7562,test_acc=0.8270
Epoch 22,train_loss=0.0794,train_acc=0.9712,test_loss=0.6614,test_acc=0.8397
Epoch 23,train_loss=0.0667,train_acc=0.9784,test_loss=0.7384,test_acc=0.8306
Epoch 24,train_loss=0.0805,train_acc=0.9724,test_loss=0.6349,test_acc=0.8427
Epoch 25,train_loss=0.0732,train_acc=0.9735,test_loss=0.7164,test_acc=0.8352
Epoch 26,train_loss=0.0575,train_acc=0.9795,test_loss=0.7176,test_acc=0.8375
Epoch 27,train_loss=0.0624,train_acc=0.9774,test_loss=0.7542,test_acc=0.8375
Epoch 28,train_loss=0.0553,train_acc=0.9811,test_loss=0.8024,test_acc=0.8261
Epoch 29,train_loss=0.0244,train_acc=0.9911,test_loss=0.6963,test_acc=0.8544
Epoch 30,train_loss=0.0179,train_acc=0.9939,test_loss=0.7003,test_acc=0.8547
Epoch 31,train_loss=0.0547,train_acc=0.9814,test_loss=0.7398,test_acc=0.8371
Epoch 32,train_loss=0.0564,train_acc=0.9817,test_loss=0.7529,test_acc=0.8313
Epoch 33,train_loss=0.0565,train_acc=0.9804,test_loss=0.7688,test_acc=0.8352
Epoch 34,train_loss=0.0520,train_acc=0.9821,test_loss=0.7579,test_acc=0.8296
Epoch 35,train_loss=0.0538,train_acc=0.9821,test_loss=0.6967,test_acc=0.8446
Epoch 36,train_loss=0.0450,train_acc=0.9849,test_loss=0.8018,test_acc=0.8274
Epoch 37,train_loss=0.0463,train_acc=0.9848,test_loss=0.7581,test_acc=0.8349
Epoch 38,train_loss=0.0467,train_acc=0.9856,test_loss=0.7629,test_acc=0.8388
Epoch 39,train_loss=0.0460,train_acc=0.9840,test_loss=0.8546,test_acc=0.8267
Epoch 40,train_loss=0.0199,train_acc=0.9930,test_loss=0.7748,test_acc=0.8469
