Epoch 1,train_loss=0.8984,train_acc=0.6783,test_loss=0.7026,test_acc=0.7480
Epoch 2,train_loss=0.5808,train_acc=0.7933,test_loss=0.5768,test_acc=0.7950
Epoch 3,train_loss=0.4706,train_acc=0.8340,test_loss=0.6019,test_acc=0.7904
Epoch 4,train_loss=0.3908,train_acc=0.8635,test_loss=0.5378,test_acc=0.8139
Epoch 5,train_loss=0.3280,train_acc=0.8840,test_loss=0.5262,test_acc=0.8263
Epoch 6,train_loss=0.2607,train_acc=0.9082,test_loss=0.5339,test_acc=0.8308
Epoch 7,train_loss=0.2150,train_acc=0.9259,test_loss=0.5348,test_acc=0.8341
Epoch 8,train_loss=0.1830,train_acc=0.9365,test_loss=0.5611,test_acc=0.8204
Epoch 9,train_loss=0.1554,train_acc=0.9475,test_loss=0.5572,test_acc=0.8302
Epoch 10,train_loss=0.1306,train_acc=0.9543,test_loss=0.5716,test_acc=0.8367
Epoch 11,train_loss=0.1288,train_acc=0.9571,test_loss=0.6046,test_acc=0.8336
Epoch 12,train_loss=0.1095,train_acc=0.9619,test_loss=0.7308,test_acc=0.8150
Epoch 13,train_loss=0.0952,train_acc=0.9676,test_loss=0.6889,test_acc=0.8235
Epoch 14,train_loss=0.0916,train_acc=0.9694,test_loss=0.6970,test_acc=0.8156
Epoch 15,train_loss=0.0857,train_acc=0.9694,test_loss=0.7399,test_acc=0.8277
Epoch 16,train_loss=0.0444,train_acc=0.9852,test_loss=0.6128,test_acc=0.8453
Epoch 17,train_loss=0.0277,train_acc=0.9912,test_loss=0.6025,test_acc=0.8492
Epoch 18,train_loss=0.0231,train_acc=0.9932,test_loss=0.6401,test_acc=0.8453
Epoch 19,train_loss=0.0204,train_acc=0.9950,test_loss=0.6498,test_acc=0.8498
Epoch 20,train_loss=0.0198,train_acc=0.9938,test_loss=0.6676,test_acc=0.8453
Epoch 21,train_loss=0.0680,train_acc=0.9757,test_loss=0.7208,test_acc=0.8342
Epoch 22,train_loss=0.0607,train_acc=0.9799,test_loss=0.7461,test_acc=0.8300
