Epoch 1,train_loss=2.0903,train_acc=0.0991,test_loss=2.1129,test_acc=0.1121,balanced_acc=0.1792
Epoch 2,train_loss=1.7341,train_acc=0.2446,test_loss=1.8914,test_acc=0.2629,balanced_acc=0.2916
Epoch 3,train_loss=1.4932,train_acc=0.3793,test_loss=1.7523,test_acc=0.3362,balanced_acc=0.3871
Epoch 4,train_loss=1.2950,train_acc=0.4849,test_loss=1.6844,test_acc=0.3750,balanced_acc=0.4112
Epoch 5,train_loss=1.1257,train_acc=0.5819,test_loss=1.6329,test_acc=0.4267,balanced_acc=0.4397
Epoch 6,train_loss=0.9791,train_acc=0.6821,test_loss=1.5923,test_acc=0.4914,balanced_acc=0.4993
Epoch 7,train_loss=0.8508,train_acc=0.7575,test_loss=1.5580,test_acc=0.5259,balanced_acc=0.5081
Epoch 8,train_loss=0.7374,train_acc=0.8147,test_loss=1.5303,test_acc=0.5259,balanced_acc=0.5087
Epoch 9,train_loss=0.6373,train_acc=0.8610,test_loss=1.5102,test_acc=0.5560,balanced_acc=0.5144
Epoch 10,train_loss=0.5504,train_acc=0.8944,test_loss=1.4971,test_acc=0.5905,balanced_acc=0.5282
Epoch 11,train_loss=0.4756,train_acc=0.9256,test_loss=1.4878,test_acc=0.5991,balanced_acc=0.5134
Epoch 12,train_loss=0.4112,train_acc=0.9418,test_loss=1.4787,test_acc=0.6207,balanced_acc=0.5339
Epoch 13,train_loss=0.3557,train_acc=0.9537,test_loss=1.4720,test_acc=0.6207,balanced_acc=0.5317
Epoch 14,train_loss=0.3079,train_acc=0.9666,test_loss=1.4693,test_acc=0.6164,balanced_acc=0.5078
Epoch 15,train_loss=0.2669,train_acc=0.9752,test_loss=1.4685,test_acc=0.6121,balanced_acc=0.5058
Epoch 16,train_loss=0.2320,train_acc=0.9838,test_loss=1.4702,test_acc=0.6207,balanced_acc=0.5120
Epoch 17,train_loss=0.2056,train_acc=0.9849,test_loss=1.4737,test_acc=0.6207,balanced_acc=0.5126
Epoch 18,train_loss=0.1917,train_acc=0.9860,test_loss=1.4750,test_acc=0.6207,balanced_acc=0.5126
Epoch 19,train_loss=0.1791,train_acc=0.9892,test_loss=1.4769,test_acc=0.6250,balanced_acc=0.5135
Epoch 20,train_loss=0.1674,train_acc=0.9946,test_loss=1.4789,test_acc=0.6121,balanced_acc=0.4944
