Epoch 1,train_loss=2.0544,train_acc=0.1412,test_loss=1.9550,test_acc=0.1552,balanced_acc=0.2025
Epoch 2,train_loss=1.6506,train_acc=0.4106,test_loss=1.6400,test_acc=0.3707,balanced_acc=0.2876
Epoch 3,train_loss=1.3725,train_acc=0.5959,test_loss=1.4977,test_acc=0.4914,balanced_acc=0.3418
Epoch 4,train_loss=1.1630,train_acc=0.7295,test_loss=1.4251,test_acc=0.5388,balanced_acc=0.3887
Epoch 5,train_loss=0.9992,train_acc=0.7716,test_loss=1.3729,test_acc=0.5560,balanced_acc=0.3827
Epoch 6,train_loss=0.8639,train_acc=0.8233,test_loss=1.3381,test_acc=0.5603,balanced_acc=0.4031
Epoch 7,train_loss=0.7471,train_acc=0.8718,test_loss=1.3142,test_acc=0.5690,balanced_acc=0.4052
Epoch 8,train_loss=0.6446,train_acc=0.9073,test_loss=1.2951,test_acc=0.5776,balanced_acc=0.4136
Epoch 9,train_loss=0.5547,train_acc=0.9375,test_loss=1.2777,test_acc=0.5776,balanced_acc=0.4136
Epoch 10,train_loss=0.4767,train_acc=0.9601,test_loss=1.2602,test_acc=0.5862,balanced_acc=0.4204
Epoch 11,train_loss=0.4085,train_acc=0.9741,test_loss=1.2476,test_acc=0.5862,balanced_acc=0.4336
Epoch 12,train_loss=0.3487,train_acc=0.9838,test_loss=1.2404,test_acc=0.5819,balanced_acc=0.4311
Epoch 13,train_loss=0.2960,train_acc=0.9925,test_loss=1.2375,test_acc=0.5776,balanced_acc=0.4315
Epoch 14,train_loss=0.2511,train_acc=0.9957,test_loss=1.2348,test_acc=0.5862,balanced_acc=0.4399
Epoch 15,train_loss=0.2140,train_acc=0.9989,test_loss=1.2335,test_acc=0.5948,balanced_acc=0.4489
Epoch 16,train_loss=0.1833,train_acc=1.0000,test_loss=1.2330,test_acc=0.5905,balanced_acc=0.4469
Epoch 17,train_loss=0.1580,train_acc=1.0000,test_loss=1.2322,test_acc=0.5905,balanced_acc=0.4469
Epoch 18,train_loss=0.1369,train_acc=1.0000,test_loss=1.2318,test_acc=0.5991,balanced_acc=0.4588
Epoch 19,train_loss=0.1196,train_acc=1.0000,test_loss=1.2326,test_acc=0.5948,balanced_acc=0.4517
Epoch 20,train_loss=0.1051,train_acc=1.0000,test_loss=1.2339,test_acc=0.5991,balanced_acc=0.4564
