Epoch 1,train_loss=1.8832,train_acc=0.2908,test_loss=1.7214,test_acc=0.4397,balanced_acc=0.2698
Epoch 2,train_loss=1.6577,train_acc=0.4314,test_loss=1.5990,test_acc=0.4828,balanced_acc=0.4917
Epoch 3,train_loss=1.4105,train_acc=0.5168,test_loss=1.4797,test_acc=0.5172,balanced_acc=0.5164
Epoch 4,train_loss=1.2185,train_acc=0.6043,test_loss=1.3815,test_acc=0.5388,balanced_acc=0.5763
Epoch 5,train_loss=0.9959,train_acc=0.6605,test_loss=1.3128,test_acc=0.5388,balanced_acc=0.4785
Epoch 6,train_loss=0.7911,train_acc=0.7243,test_loss=1.2423,test_acc=0.5776,balanced_acc=0.5032
Epoch 7,train_loss=0.6597,train_acc=0.7751,test_loss=1.1932,test_acc=0.5948,balanced_acc=0.5580
Epoch 8,train_loss=0.5141,train_acc=0.8314,test_loss=1.1366,test_acc=0.5905,balanced_acc=0.5112
Epoch 9,train_loss=0.4224,train_acc=0.8800,test_loss=1.1097,test_acc=0.6078,balanced_acc=0.5226
Epoch 10,train_loss=0.3850,train_acc=0.9211,test_loss=1.1151,test_acc=0.6293,balanced_acc=0.5265
Epoch 11,train_loss=0.3437,train_acc=0.9243,test_loss=1.1263,test_acc=0.6121,balanced_acc=0.5161
Epoch 12,train_loss=0.3078,train_acc=0.9330,test_loss=1.1201,test_acc=0.6336,balanced_acc=0.5680
Epoch 13,train_loss=0.2563,train_acc=0.9557,test_loss=1.0858,test_acc=0.6336,balanced_acc=0.5279
Epoch 14,train_loss=0.2317,train_acc=0.9546,test_loss=1.0955,test_acc=0.6422,balanced_acc=0.5346
Epoch 15,train_loss=0.2332,train_acc=0.9557,test_loss=1.0792,test_acc=0.6638,balanced_acc=0.5435
Epoch 16,train_loss=0.2085,train_acc=0.9654,test_loss=1.0991,test_acc=0.6595,balanced_acc=0.5414
Epoch 17,train_loss=0.2163,train_acc=0.9719,test_loss=1.0840,test_acc=0.6422,balanced_acc=0.5346
Epoch 18,train_loss=0.2006,train_acc=0.9719,test_loss=1.0938,test_acc=0.6724,balanced_acc=0.5908
Epoch 19,train_loss=0.1858,train_acc=0.9697,test_loss=1.0923,test_acc=0.6595,balanced_acc=0.5443
Epoch 20,train_loss=0.1729,train_acc=0.9784,test_loss=1.0819,test_acc=0.6767,balanced_acc=0.5520
Epoch 21,train_loss=0.1685,train_acc=0.9784,test_loss=1.1008,test_acc=0.6638,balanced_acc=0.5443
Epoch 22,train_loss=0.1706,train_acc=0.9795,test_loss=1.1026,test_acc=0.6681,balanced_acc=0.5453
Epoch 23,train_loss=0.1691,train_acc=0.9859,test_loss=1.0814,test_acc=0.6681,balanced_acc=0.5474
Epoch 24,train_loss=0.1619,train_acc=0.9816,test_loss=1.0613,test_acc=0.6724,balanced_acc=0.5536
Epoch 25,train_loss=0.1638,train_acc=0.9751,test_loss=1.0828,test_acc=0.6767,balanced_acc=0.5526
Epoch 26,train_loss=0.1569,train_acc=0.9870,test_loss=1.0874,test_acc=0.6638,balanced_acc=0.5462
Epoch 27,train_loss=0.1457,train_acc=0.9881,test_loss=1.0768,test_acc=0.6638,balanced_acc=0.5468
Epoch 28,train_loss=0.1559,train_acc=0.9795,test_loss=1.1123,test_acc=0.6509,balanced_acc=0.5374
Epoch 29,train_loss=0.1554,train_acc=0.9838,test_loss=1.0723,test_acc=0.6638,balanced_acc=0.5505
Epoch 30,train_loss=0.1496,train_acc=0.9870,test_loss=1.0698,test_acc=0.6681,balanced_acc=0.5482
