Epoch 1,train_loss=1.9828,train_acc=0.2465,test_loss=1.7611,test_acc=0.3922,balanced_acc=0.2489
Epoch 2,train_loss=1.7192,train_acc=0.3524,test_loss=1.5790,test_acc=0.4224,balanced_acc=0.4289
Epoch 3,train_loss=1.4070,train_acc=0.4173,test_loss=1.4341,test_acc=0.4655,balanced_acc=0.4943
Epoch 4,train_loss=1.1774,train_acc=0.4843,test_loss=1.3312,test_acc=0.5172,balanced_acc=0.4927
Epoch 5,train_loss=0.9884,train_acc=0.5730,test_loss=1.2265,test_acc=0.5862,balanced_acc=0.5585
Epoch 6,train_loss=0.8117,train_acc=0.6584,test_loss=1.1001,test_acc=0.6250,balanced_acc=0.6394
Epoch 7,train_loss=0.6579,train_acc=0.7330,test_loss=1.0609,test_acc=0.6164,balanced_acc=0.5881
Epoch 8,train_loss=0.5491,train_acc=0.7741,test_loss=1.0292,test_acc=0.6638,balanced_acc=0.5736
Epoch 9,train_loss=0.4443,train_acc=0.8357,test_loss=1.0104,test_acc=0.7155,balanced_acc=0.6015
Epoch 10,train_loss=0.3722,train_acc=0.8692,test_loss=0.9963,test_acc=0.7069,balanced_acc=0.5976
Epoch 11,train_loss=0.3094,train_acc=0.8951,test_loss=0.9505,test_acc=0.7241,balanced_acc=0.6049
Epoch 12,train_loss=0.2868,train_acc=0.9070,test_loss=0.9569,test_acc=0.7284,balanced_acc=0.6073
Epoch 13,train_loss=0.2810,train_acc=0.9168,test_loss=0.9478,test_acc=0.7198,balanced_acc=0.6226
Epoch 14,train_loss=0.2389,train_acc=0.9395,test_loss=0.9252,test_acc=0.7457,balanced_acc=0.6352
Epoch 15,train_loss=0.2043,train_acc=0.9503,test_loss=0.9318,test_acc=0.7457,balanced_acc=0.6137
Epoch 16,train_loss=0.1894,train_acc=0.9568,test_loss=0.9257,test_acc=0.7328,balanced_acc=0.6100
Epoch 17,train_loss=0.1844,train_acc=0.9600,test_loss=0.9452,test_acc=0.7371,balanced_acc=0.6084
Epoch 18,train_loss=0.1702,train_acc=0.9568,test_loss=0.9190,test_acc=0.7371,balanced_acc=0.6133
Epoch 19,train_loss=0.1658,train_acc=0.9665,test_loss=0.9602,test_acc=0.7284,balanced_acc=0.6057
Epoch 20,train_loss=0.1615,train_acc=0.9632,test_loss=0.9572,test_acc=0.7241,balanced_acc=0.6034
Epoch 21,train_loss=0.1733,train_acc=0.9600,test_loss=0.9087,test_acc=0.7328,balanced_acc=0.6061
Epoch 22,train_loss=0.1562,train_acc=0.9676,test_loss=0.9300,test_acc=0.7284,balanced_acc=0.6084
Epoch 23,train_loss=0.1505,train_acc=0.9622,test_loss=0.9195,test_acc=0.7500,balanced_acc=0.6167
Epoch 24,train_loss=0.1386,train_acc=0.9805,test_loss=0.9169,test_acc=0.7457,balanced_acc=0.6134
Epoch 25,train_loss=0.1476,train_acc=0.9751,test_loss=0.9156,test_acc=0.7371,balanced_acc=0.6090
Epoch 26,train_loss=0.1378,train_acc=0.9719,test_loss=0.9442,test_acc=0.7241,balanced_acc=0.6038
Epoch 27,train_loss=0.1398,train_acc=0.9708,test_loss=0.9411,test_acc=0.7414,balanced_acc=0.6133
Epoch 28,train_loss=0.1339,train_acc=0.9741,test_loss=0.9179,test_acc=0.7414,balanced_acc=0.6135
Epoch 29,train_loss=0.1498,train_acc=0.9686,test_loss=0.9326,test_acc=0.7328,balanced_acc=0.6057
Epoch 30,train_loss=0.1279,train_acc=0.9795,test_loss=0.9350,test_acc=0.7457,balanced_acc=0.6119
